"country_code","capital","total_area"
"AD","Andorra la Vella","468"
"AE","Abu Dhabi","83600"
"AF","Kabul","652230"
"AG","Saint John's","442"
"AI","The Valley","91"
"AL","Tirana","28748"
"AM","Yerevan","29743"
"AO","Luanda","1246700"
"AQ","-","14000000"
"AR","Buenos Aires","2780400"
"AS","Pago Pago","199"
"AT","Vienna","83871"
"AU","Canberra","7741220"
"AW","Oranjestad","180"
"AX","Mariehamn","1552"
"AZ","Baku","86600"
"BA","Sarajevo","51197"
"BB","Bridgetown","430"
"BD","Dhaka","143998"
"BE","Brussels","30528"
"BF","Ouagadougou","274200"
"BG","Sofia","110879"
"BH","Manama","760"
"BI","Bujumbura","27830"
"BJ","Porto-Novo","112622"
"BL","Gustavia","21"
"BM","Hamilton","54"
"BN","Bandar Seri Begawan","5765"
"BO","Sucre","1098581"
"BQ","Kralendijk","328"
"BR","Brasileia","8514877"
"BS","Nassau","13880"
"BT","Thimphu","38394"
"BV","-","49"
"BW","Gaborone","581730"
"BY","Minsk","207600"
"BZ","Belmopan","22966"
"CA","Ottawa","9984670"
"CC","West Island","14"
"CD","Kinshasa","2344858"
"CF","Bangui","622984"
"CG","Brazzaville","342000"
"CH","Bern","41277"
"CI","Yamoussoukro","322463"
"CK","Avarua","236"
"CL","Santiago","756102"
"CM","Yaounde","475440"
"CN","Beijing","9596961"
"CO","Bogota","1138910"
"CR","San Jose","51100"
"CU","Havana","110860"
"CV","Praia","4033"
"CW","Willemstad","444"
"CX","Flying Fish Cove","135"
"CY","Nicosia","9251"
"CZ","Prague","78867"
"DE","Berlin","357022"
"DJ","Djibouti","23200"
"DK","Copenhagen","43094"
"DM","Roseau","751"
"DO","Santo Domingo","48670"
"DZ","Algiers","2381741"
"EC","Quito","283561"
"EE","Tallinn","45228"
"EG","Cairo","1001450"
"EH","Laayoune / El Aaiun","266000"
"ER","Asmara","117600"
"ES","Madrid","505370"
"ET","Addis Ababa","1104300"
"FI","Helsinki","338145"
"FJ","Suva","18274"
"FK","Stanley","12173"
"FM","Palikir","702"
"FO","Torshavn","1393"
"FR","Paris","643801"
"GA","Libreville","267667"
"GB","London","243610"
"GD","Saint George's","344"
"GE","Tbilisi","69700"
"GF","Cayenne","86504"
"GG","Saint Peter Port","78"
"GH","Accra","238533"
"GI","Gibraltar","6"
"GL","Nuuk","2166086"
"GM","Banjul","11295"
"GN","Conakry","245857"
"GP","Basse-terre","1630"
"GQ","Malabo","28051"
"GR","Athens","131957"
"GS","Grytviken","3903"
"GT","Guatemala City","108889"
"GU","Hagatna","544"
"GW","Bissau","36125"
"GY","Georgetown","214969"
"HK","-","1104"
"HM","-","412"
"HN","Tegucigalpa","112090"
"HR","Zagreb","56594"
"HT","Port-au-prince","27750"
"HU","Budapest","93028"
"ID","Jakarta","1904569"
